subject_id,component,condition,latency_frac_area_ms,mean_amplitude_roi,peak_latency_ms,peak_amplitude_roi,n_epochs,baseline_noise_uv,snr,collapsed_peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms
02,P1,1 to 2,83.10333779049381,0.5590313679654015,88.0,1.0869418293994415,6,0.9608854596848806,0.5817877274870349,80.0,70.70953472866088,88.07336491752483,17.363830188863943
02,N1,1 to 2,158.2444443062229,-0.7428650912481627,164.0,-3.587197103563397,6,1.3005274943428617,0.5712029114951714,164.0,134.24296892113466,217.6480995940707,83.40513067293602
02,P3b,1 to 2,479.6937435700677,1.1474204989561128,452.0,3.0022357977725216,6,1.729937981171472,0.6632726210098627,496.0,386.1433174207376,538.0644868899311,151.9211694691935
02,P1,1 to 3,80.61544695534236,1.709406366102747,84.0,1.9567424202724244,8,1.2133799002560468,1.4087973319337406,80.0,70.70953472866088,88.07336491752483,17.363830188863943
02,N1,1 to 3,176.1672333984158,-3.3768798724696474,168.0,-4.694283481470476,8,1.3880602169246432,2.4328050262483503,164.0,134.24296892113466,217.6480995940707,83.40513067293602
02,P3b,1 to 3,479.1752930879146,2.647504936889642,504.0,4.48621281837611,8,0.9669607094380743,2.7379653703077294,496.0,386.1433174207376,538.0644868899311,151.9211694691935
03,P1,1 to 2,82.46496802781282,1.6263953190924472,88.0,2.652075864189413,7,1.250255974842118,1.3008498674024156,80.0,70.70953472866088,88.07336491752483,17.363830188863943
03,N1,1 to 2,166.4576159890405,-4.6211047385052195,148.0,-6.986535257152423,7,1.4081249261032458,3.2817434396913683,164.0,134.24296892113466,217.6480995940707,83.40513067293602
03,P3b,1 to 2,nan,-2.4005432699152167,452.0,-0.2722639076797548,7,2.250318893247224,1.0667569281486227,496.0,386.1433174207376,538.0644868899311,151.9211694691935
03,P1,1 to 3,83.35571197250722,2.5495290008426585,88.0,5.227377987176068,6,1.9900162898246607,1.2811598648106022,80.0,70.70953472866088,88.07336491752483,17.363830188863943
03,N1,1 to 3,172.25850486318865,-5.6946628690748495,148.0,-7.192838849928362,6,1.9093769272677363,2.9824718146268525,164.0,134.24296892113466,217.6480995940707,83.40513067293602
03,P3b,1 to 3,nan,-2.7192110370400906,456.0,-1.0726013030976989,6,1.2079691039410156,2.2510600876865374,496.0,386.1433174207376,538.0644868899311,151.9211694691935
04,P1,1 to 2,nan,-1.7941462198173876,88.0,-0.8730094801625898,4,1.8038132030872653,0.994640806900996,80.0,70.70953472866088,88.07336491752483,17.363830188863943
04,N1,1 to 2,181.13041231170226,-2.310047399560163,172.0,-3.1634108463041097,4,1.5352240483183388,1.5046972473435094,164.0,134.24296892113466,217.6480995940707,83.40513067293602
04,P3b,1 to 2,nan,-1.1719717131304337,536.0,0.6990712866016703,4,1.602192753343709,0.731479848903684,496.0,386.1433174207376,538.0644868899311,151.9211694691935
04,P1,1 to 3,84.8085148240425,0.8429482654230306,88.0,2.493377566333317,6,1.1060218411359986,0.762144321270578,80.0,70.70953472866088,88.07336491752483,17.363830188863943
04,N1,1 to 3,200.8325881940192,-0.734698348850308,216.0,-2.3429639932417494,6,1.0000173141164392,0.7346856284177914,164.0,134.24296892113466,217.6480995940707,83.40513067293602
04,P3b,1 to 3,458.1747773855003,1.6258613611389339,388.0,3.6052255282079337,6,1.0127186959133467,1.6054422296140276,496.0,386.1433174207376,538.0644868899311,151.9211694691935
05,P1,1 to 2,87.97867480001094,-0.014052965897863267,88.0,0.8228576122895562,6,0.7936805596117545,0.017706072963079213,80.0,70.70953472866088,88.07336491752483,17.363830188863943
05,N1,1 to 2,169.5361046227535,-4.7062613588409175,172.0,-8.31609090950374,6,0.4956749558994919,9.49465229749313,164.0,134.24296892113466,217.6480995940707,83.40513067293602
05,P3b,1 to 2,492.58154865084185,2.182674988004484,520.0,3.8552691332359545,6,0.3181112480139314,6.8613574704811935,496.0,386.1433174207376,538.0644868899311,151.9211694691935
05,P1,1 to 3,nan,-0.8063700509256186,88.0,-0.22423037426359105,5,0.3640402113621602,2.2150576385733745,80.0,70.70953472866088,88.07336491752483,17.363830188863943
05,N1,1 to 3,178.27787414692736,-3.6268876370618313,172.0,-6.817224333180696,5,0.6118766840054926,5.927481356732453,164.0,134.24296892113466,217.6480995940707,83.40513067293602
05,P3b,1 to 3,nan,-2.9432548045224687,508.0,-1.5510518954905637,5,0.4268217143403317,6.8957475818009275,496.0,386.1433174207376,538.0644868899311,151.9211694691935
08,P1,1 to 2,81.14701620251381,3.089407310412739,88.0,3.853606899453462,6,1.8956719940544708,1.629716174582029,80.0,70.70953472866088,88.07336491752483,17.363830188863943
08,N1,1 to 2,205.48695623007143,-0.5557531819676439,204.0,-2.3816656169802366,6,1.8118278017425644,0.3067362038672419,164.0,134.24296892113466,217.6480995940707,83.40513067293602
08,P3b,1 to 2,nan,-1.3471852394970354,448.0,2.163308471650956,6,1.7511950601603532,0.7692947919654801,496.0,386.1433174207376,538.0644868899311,151.9211694691935
08,P1,1 to 3,nan,-0.15814466799967364,72.0,2.9613543320783005,3,2.2176629704670914,0.07131140759696443,80.0,70.70953472866088,88.07336491752483,17.363830188863943
08,N1,1 to 3,189.20563280258077,-1.2099570029248368,188.0,-3.094680186826039,3,2.579912679027167,0.46899145570348805,164.0,134.24296892113466,217.6480995940707,83.40513067293602
08,P3b,1 to 3,429.9709965567179,2.0745326243820865,432.0,4.7510179438819184,3,1.3612559606988714,1.5239842353505784,496.0,386.1433174207376,538.0644868899311,151.9211694691935
09,P1,1 to 2,77.14620534820752,0.23766842764541324,72.0,0.461706781759713,6,0.9890154576105548,0.24030810218034032,80.0,70.70953472866088,88.07336491752483,17.363830188863943
09,N1,1 to 2,165.7020648308193,-2.968583556286564,164.0,-5.928757758650642,6,0.9534876308739969,3.113394930530422,164.0,134.24296892113466,217.6480995940707,83.40513067293602
09,P3b,1 to 2,459.17863314560964,7.457528321756694,420.0,9.292156026212492,6,1.6867432475704645,4.421258737806302,496.0,386.1433174207376,538.0644868899311,151.9211694691935
09,P1,1 to 3,78.4486991056234,3.8540475620035908,76.0,5.058602182405395,3,1.2623678870884432,3.053030421181469,80.0,70.70953472866088,88.07336491752483,17.363830188863943
09,N1,1 to 3,159.8935285781068,-1.6495445161558429,136.0,-4.924557954970686,3,1.1722302846013006,1.4071846955539853,164.0,134.24296892113466,217.6480995940707,83.40513067293602
09,P3b,1 to 3,474.74807390523927,8.146076145187722,488.0,11.473358555361658,3,2.025361739732586,4.022035168030413,496.0,386.1433174207376,538.0644868899311,151.9211694691935
10,P1,1 to 2,80.11304427864276,0.14409377551946892,80.0,0.3928477645655764,6,1.6048117989370754,0.08978858182305702,80.0,70.70953472866088,88.07336491752483,17.363830188863943
10,N1,1 to 2,162.70306110500727,-2.268344515487353,168.0,-6.236855359304051,6,1.6858018827509267,1.3455581813598532,164.0,134.24296892113466,217.6480995940707,83.40513067293602
